и	and
определѐнный	definite, specific
не́бо	sky
созда́ние	creation
направле́ние	direction
осо́бый	special
предприя́тие	enterprise
шаг	step
до́брый	good, kind
по́ле	field
ход	course
иссле́дование	research
остально́й	other, remaining
пол	floor, sex
кома́нда	team
поднима́ться	raise, ascend, walk up
обще́ственный	public
ма́льчик	boy
заставля́ть	force
туда́	there
пусть	let
ме́тод	method
ма́ло	little, not much
встре́ча	meeting
снача́ла	at first
сон	sleep, dream
отдава́ть	return, give
слу́жба	service
остана́вливаться	stop
во́здух	air
кровь	blood
зре́ние	sight
врач	doctor
по́вод	cause, reason
рост	growth, height
е́хать	go, ride, drive
встреча́ть	meet
нра́виться	like
зна́ние	knowledge
како́й-то	some
всѐ-таки	nevertheless, still
населе́ние	population
па́лец	finger
де́сять	ten
обы́чный	usual
орга́н	organ, authorities
до́ллар	dollar
держа́ть	keep, hold
похо́жий	similar
устана́вливать	establish, install
уча́стие	participation, role
дорого́й	expensive, dear
реа́льный	real
род	gender, kind
наибо́лее	most(ly)
де́вочка	girl
кру́пный	large
мо́ре	sea
как-то	somehow
хоть	at least
приро́да	nature, natural environment
магази́н	shop
улыба́ться	smile
весьма́	highly, very
испо́льзование	use
бо́льший	bigger, larger
домо́й	home
объе́кт	object, subject
па́мять	memory
свобо́да	freedom
борьба́	struggle, battle
ли́чный	personal
каса́ться	touch
причѐм	moreover, on top of that, and also
необходи́мо	necessary, need
назва́ние	name
проводи́ть	lead, spend
отде́льный	separate
предме́т	item, subject
добавля́ть	add
плечо́	shoulder
му́зыка	music
самолѐт	(aero)plane
пози́ция	position
стара́ться	try
хара́ктер	character, nature
ука́зывать	state
разме́р	size
пить	drink
сре́дний	average, middle
проду́кт	product
геро́й	hero
собира́ть	collect, pick (up)
серьѐзный	serious
со́лнце	sun
передава́ть	give, pass, tell
дух	spirit, morale
сеть	network, chain
представи́тель	representative
лес	forest
журна́л	magazine
март	March
национа́льный	national
террито́рия	territory
иску́сство	art
америка́нский	American
сло́вно	as if
уча́стник	participant
впро́чем	however
вариа́нт	option, variant
свобо́дный	free
судьба́	fate
срок	term, period
институ́т	institute
переходи́ть	pass, cross, change
гость	guest
междунаро́дный	international
де́йствовать	act
спосо́бный	capable
практи́чески	practically
сою́з	union, alliance, conjunction
отка́зываться	refuse
Интерне́т	Internet
пе́сня	song
по́здний	late
лу́чше	better
ум	mind
сте́пень	degree, extent, degree (academic)
успе́х	success
па́рень	guy, boy
соглаша́ться	agree
кто-то	anyone, someone
това́р	product, item
наде́яться	hope, rely
предложе́ние	offer, sentence
обнару́живать	find, discover
река́	river
обеспе́чивать	provide
фи́рма	firm
граждани́н	citizen
составля́ть	compile, make, put together
моско́вский	Moscow
заявля́ть	report, claim
това́рищ	comrade
норма́льный	normal, regular
Евро́па	Europe
карти́на	painting, picture
созна́ние	consciousness
апре́ль	April
по́лностью	completely
си́льно	strongly, considerably
обраща́ть	pay, render, turn
исто́чник	source
дире́ктор	director
грани́ца	border
состоя́ть	be, consist of
вме́сто	instead of
закрыва́ть	close
полови́на	half
опера́ция	operation
поступа́ть	enter, enrol, behave
про́бовать	try
вы́бор	choice
оце́нка	evaluation, mark
ого́нь	fire, light
моде́ль	model
специали́ст	specialist
соба́ка	dog
компью́тер	computer
краси́вый	beautiful
техноло́гия	technology
де́рево	tree
вы́ход	exit, way out
нау́чный	scientific
мирово́й	world
гора́	mountain, hill
де́тский	child's, childlike
уме́ть	be able, can
жела́ть	wish
бе́рег	shore, bank
кора́бль	ship
широ́кий	wide
прекра́сный	fine, great
и́бо	for, because
постоя́нно	constantly
рабо́чий	worker
вне́шний	external
литерату́ра	literature
тяжѐлый	heavy, serious
среда́	Wednesday
сотру́дник	employee, colleague
услы́шать	hear
сло́жный	complex, sophisticated
зал	hall, room
во́йско	army
структу́ра	structure
бой	fight, battle
несмотря́	despite
коро́ткий	short
стра́нный	strange
нача́льник	head
ни́зкий	low
край	edge
оши́бка	mistake
це́рковь	church
сюда́	here
бу́дущее	future
про́шлый	last
бума́га	paper
подде́ржка	support
по́льзоваться	use
ли́ния	line
бы́стрый	fast, quick
защи́та	protection
сча́стье	happiness
всего́	only
рома́н	affair, novel
вы́глядеть	look
име́ться	be available, have
ве́тер	wind
соста́в	composition
возника́ть	occur, arise, be encountered
англи́йский	English
вы́сший	high, highest
курс	course
тео́рия	theory
ра́зве	really
вокру́г	around
дли́нный	long
бы́вший	ex-, former
простра́нство	space
учи́ться	study
во́зраст	age
поня́тие	idea, concept
чи́стый	clean, pure
потеря́ть	lose
поведе́ние	behaviour
спина́	back
тру́дно	difficult
услу́га	service
продава́ть	sell
служи́ть	serve
ору́жие	weapon, firearm
США	USA
направля́ть	send, direct
страх	fear, worry
страни́ца	page
па́па	dad
враг	enemy
по́иск	search
два́дцать	twenty
руководи́тель	director
эконо́мика	economy
столь	so, that
отку́да	where (from)
гора́здо	much
хозя́ин	master
стра́шный	terrible
ожида́ть	expect, await
ка́мень	stone
расска́з	story
звук	sound
вновь	again
солда́т	soldier
наде́жда	hope
ка́рта	card, map
господи́н	master, mister, gentleman
лета́ть	fly
цвет	colour
сесть	sit down
специа́льный	special
попы́тка	attempt
круг	circle
одна́жды	once
устра́ивать	organize, arrange, suit, be convenient
коммента́рий	comment
посыла́ть	send
глава́	head, chapter
уда́р	stroke, blow
клие́нт	client, customer
ина́че	otherwise
кра́йний	extreme, far
признава́ть	recognize, admit
до́ктор	doctor
достига́ть	reach
исчеза́ть	disappear
означа́ть	mean
гляде́ть	look
пока́зываться	appear
изменя́ть	change, be unfaithful
дочь	daughter
отправля́ть	send
респу́блика	republic
ста́вить	put
пожа́луйста	please
пое́хать	go
еди́ный	united
во́лос	hair
соверша́ть	accomplish, do, make
Герма́ния	Germany
называ́ться	be called
отсу́тствие	absence
прямо́й	straight, direct
проце́нт	per cent, percentage
ма́сса	mass, lots, weight
ба́за	base
до́лгий	long
необходи́мость	necessity
ве́ра	faith
студе́нт	student
ана́лиз	analysis, test
отправля́ться	depart
зда́ние	building
ребя́та	children, guys
конкре́тный	specific
у́гол	corner, angle
ско́рость	speed
тре́бование	requirement, demand
бу́дто	as if
бежа́ть	run
но́вость	news
откры́тый	open
спи́сок	list
представле́ние	performance, idea
учи́тель	teacher
вы́вод	conclusion
догово́р	agreement
положи́ть	put
эне́ргия	energy
зави́сеть	depend
неме́цкий	German
обяза́тельно	obligatory
боль	pain, ache
приме́рно	roughly
безопа́сность	safety, security
май	May
пло́хо	bad(ly)
ви́дно	visible
удово́льствие	pleasure
не́кий	a certain, some
спосо́бность	ability
пре́жде	before, first
произноси́ть	pronounce, say
перестава́ть	stop
до́ма	at home
ощуще́ние	feeling, sensation
а́дрес	address
за́падный	western
писа́тель	writer
проти́вник	enemy
сфе́ра	sphere, sector
люби́мый	favourite, beloved
звезда́	star
проверя́ть	check
спаси́бо	thanks
вперѐд	forward
знак	sign, mark
влия́ние	influence, effect
во́все	at all
уве́ренный	confident, certain
грудь	chest, breast
двор	yard
ника́к	no way
опи́сывать	describe
банк	bank
контро́ль	control
пункт	paragraph
ра́дость	gladness, joy
чуж́ой	strange, unfamiliar
фу́нкция	function
за́втра	tomorrow
впечатле́ние	impression
задава́ть	ask, give
содержа́ние	contents
сохраня́ть	keep
основа́ние	foundation, basis, setting up
зака́нчивать	finish
объѐм	volume, size
вчера́	yesterday
проща́ть	forgive
пря́мо	straight
режи́м	mode, regime
во́ля	will
киломе́тр	kilometer, kilometre
расти́	grow
звать	call
пра́вильный	correct
ли́чность	personality, identity
шесть	six
одновреме́нно	simultaneously
здоро́вье	health
рот	mouth
регио́н	region
преде́л	limit, bound
мо́жет	maybe, might
физи́ческий	physical
чита́тель	reader
стари́к	old man
пра́ктика	practice
знако́мый	familiar, acquainted
ме́дленный	slow
боево́й	battle
побе́да	victory
хвата́ть	grasp, be enough
элеме́нт	element
янва́рь	January
руково́дство	guidance, management, leadership
есте́ственно	naturally, of course
постоя́нный	constant
же́нский	female, feminine, woman's, ladies'
встреча́ться	meet
сто́имость	cost
а́вгуст	August
очередно́й	next, another
счастли́вый	happy
секу́нда	second
жи́тель	inhabitant, resident
мно́жество	many, multitude
пра́здник	holiday, festival
су́мма	amount
ви́димо	evidently
ка́жется	seem
команди́р	commander
сце́на	scene, stage
наско́лько	how
те́хника	equipment, technique
подгото́вка	preparation
истори́ческий	historical
лѐгкий	easy, light
ито́г	total, result
сожале́ние	regret, sympathy
у́хо	ear
заня́тие	occupation, lesson
соотве́тствующий	corresponding
существова́ние	existence, being
приглаша́ть	invite
мужи́к	man
городско́й	urban, town
октя́брь	October
впервы́е	for the first time
неда́вно	recently
нос	nose
существо́	creature
генера́л	general
есть	eat
зна́чить	mean
благодаря́	thanks to
облада́ть	own, have
мно́гое	much, many things
сентя́брь	September
пра́вильно	correct(ly)
счита́ться	be considered
клуб	club
глубо́кий	deep
принадлежа́ть	belong
наступа́ть	step on, come, attack, arrive
приобрета́ть	acquire, get
абсолю́тно	absolutely, completely
ле́то	summer
споко́йно	quietly, peacefully
доходи́ть	reach
приводи́ть	bring, lead
францу́зский	French
оде́жда	clothing, clothes
ста́рший	senior, elder
подава́ть	submit
достава́ть	get, pester (slang)
автомоби́ль	car
оце́нивать	evaluate, assess
прода́жа	sale
ра́мка	frame, scope
дека́брь	December
теа́тр	theater, theatre
университе́т	university
произведе́ние	production, creative work
СССР	USSR
где-то	somewhere
ма́лый	minor, small
ча́стный	private
сестра́	sister, nurse
фина́нсовый	financial
крича́ть	shout
фонд	fund
РФ	Russian Federation
наблюда́ть	observe
отлича́ться	differ
плати́ть	pay
Фра́нция	France
выпива́ть	drink, take (tablets)
за́пад	west
выраже́ние	expression
располага́ть	have, possess, be favourable, be conducive
золото́й	gold
тѐмный	dark
ве́рсия	version
мини́стр	minister
це́лое	whole
ра́ди	for, for the sake of
не́мец	German
губа́	lip
допуска́ть	accept, admit
а́кция	campaign, share, stock
суди́ть	try, judge
объявля́ть	announce
изменя́ться	change
дополни́тельный	additional
пусто́й	empty
Аме́рика	America
холо́дный	cold
цвето́к	flower
зато́	but, on the other hand
центра́льный	central
профессиона́льный	professional
суть	essence, crux
заво́д	factory, plant
федера́ция	federation
федера́льный	federal
техни́ческий	technical
приѐм	reception
превраща́ться	turn into
осо́бенность	feature
дере́вня	village
понима́ние	understanding
рожде́ние	birth
февра́ль	February
обстоя́тельство	fact
ле́вый	left, unauthorized
ию́нь	June
добива́ться	seek to attain
выступа́ть	perform, be in favour
боле́знь	disease
пло́щадь	square, area
подхо́д	approach
родно́й	(one's) own
стреми́ться	strive, try
ста́нция	station
обуче́ние	training, learning
вро́де	like, such as
насто́лько	so
подде́рживать	maintain, support
упа́сть	fall
за́пись	note, record, recording
значи́тельный	significant
напомина́ть	remind
наро́дный	national, public, folk
вниз	down
учѐный	academic, scientific
скла́дываться	develop, take shape, consist of, be made up of
соотве́тствие	correspondence, accordance
поэ́т	poet
утвержда́ть	claim
позвони́ть	ring, call
офице́р	officer
револю́ция	revolution
рекла́ма	advertisement
вы́боры	election(s)
явле́ние	phenomenon, feature, fact
выпуска́ть	produce, let out
вско́ре	soon
отде́л	department
коро́ль	king
ближа́йший	nearest, closest
фронт	front line
дока́зывать	prove
выража́ть	express
худо́жник	artist
живо́тное	animal
информацио́нный	information
по́льзователь	user
стиль	style
дви́гаться	move
ию́ль	July
но́рма	norm, standard
отве́тственность	responsibility
сто	hundred
чего́	what, why
европе́йский	European
переда́ча	transmission, programme
фра́за	phrase
определе́ние	definition, determination
рабо́тник	worker, employee
едва́	hardly, barely
зелѐный	green
петь	sing
да́та	date
бу́дущий	future
вводи́ть	lead in, introduce, enter
семь	seven
фотогра́фия	photograph
волна́	wave
разрабо́тка	development
дохо́д	income
капита́н	captain
уси́лие	effort
сто́лько	so much, so many
зака́нчиваться	end
профе́ссор	professor
я́сный	clear
ноя́брь	November
понра́виться	like
эта́п	stage
предоставля́ть	provide, give
приду́мывать	create, think up
перево́д	translation, transfer
фа́ктор	factor
це́нность	value
ти́хо	quiet(ly)
кана́л	channel, canal
сравне́ние	comparison
что-нибу́дь	something, anything
кабине́т	cabinet, study
роди́ться	be born
се́верный	northern
чай	tea, tip
поле́зный	useful, good
ли́чно	personally
выдава́ть	give (out), reveal
подро́бный	detailed
сла́бый	weak
журнали́ст	journalist
наоборо́т	on the contrary
проведе́ние	holding
ита́к	so
выполня́ть	perform, do, fulfil
ны́нешний	current
гражда́нский	civil
лист	leaf, sheet
обеспече́ние	provision, securing
коми́ссия	commission
снег	snow
испо́льзоваться	be used
уча́ствовать	take part
рассма́тривать	consider
дре́вний	ancient
бить	beat, hit
зуб	tooth
тради́ция	tradition
невозмо́жный	impossible
высота́	height
фо́рум	forum
есте́ственный	natural
иностра́нный	foreign
ла́дно	okay
председа́тель	chairman
ма́ссовый	mass
звони́ть	ring, call
организо́вывать	organize, arrange
я́сно	clear
молча́ть	be silent
о́стров	island
прия́тный	pleasant
прочита́ть	read
поня́тный	clear
ма́стер	master
ку́хня	kitchen
про́чий	other
де́тство	childhood
сад	garden
па́дать	fall
карма́н	pocket
сомне́ние	doubt
со́тня	hundred
запи́сывать	write down, record
деся́ток	ten
уча́сток	area, district, ward, plot
чѐрт	devil
обеща́ть	promise
про́шлое	past
покупа́ть	buy
открыва́ться	open
посвяща́ть	dedicate, devote, let into
строи́тельство	construction
Украи́на	Ukraine
разуме́ется	of course
сосе́д	neighbour
пи́во	beer
то́нкий	thin, fine
смея́ться	laugh
я́ркий	bright
устро́йство	device, machine, organizing, sorting out
слеза́	tear
соотве́тствовать	correspond
дальне́йший	further, future
библиоте́ка	library
обще́ние	communication, talking
ча́стность	detail, particular
нали́чие	presence, availability
разбира́ться	know, be disassembled
ве́рный	correct, loyal
отли́чие	difference, distinction
ме́лкий	minor, shallow
по́езд	train
прожива́ть	reside
согла́сный	consonant, agree
царь	tsar, king
проду́кция	production, goods
примене́ние	application, use
пото́к	stream
меша́ть	stir, disturb, disrupt
настрое́ние	mood
постепе́нно	gradually
дво́е	two (people)
реда́кция	editorship, editorial office, editorial staff
не́что	something
плане́та	planet
обра́тно	back
толпа́	crowd
здоро́вый	healthy, robust
поколе́ние	generation
принима́ться	set to, start
реа́кция	reaction
вероя́тный	likely
у́мный	clever, smart
вступа́ть	join in, step into
механи́зм	mechanism
пти́ца	bird
сквозь	through
же́ртва	sacrifice, victim
хозя́йство	house, sector
учени́к	pupil
подтвержда́ть	confirm
достиже́ние	achievement
органи́зм	organism
заявле́ние	application, statement
буты́лка	bottle
свято́й	saint
вверх	up
удивля́ться	be surprised
уе́хать	leave, go
знако́миться	meet, get to know
рису́нок	drawing
покида́ть	leave
пре́жний	previous
музе́й	museum
мозг	brain
официа́льный	official
улы́бка	smile
дождь	rain
по́льза	benefit
состоя́ться	take place
тру́дный	difficult
ба́бушка	grandmother
хлеб	bread
испы́тывать	feel, test
восто́к	east
полага́ть	suppose, believe
дома́шний	home
сего́дняшний	today's
со́бственно	actually
получе́ние	receipt, getting
помеще́ние	room
опа́сный	dangerous
до́ля	share, part, deal
согла́сно	according to, by
тень	shadow, shade
бога́тый	rich
морско́й	sea
учи́ть	teach, learn
возвраща́ть	return
выраста́ть	grow (up), increase
инструме́нт	instrument, tool
наруше́ние	violation
ли́дер	leader
комите́т	committee
сла́ва	glory, fame
содержа́ть	contain, keep
отсю́да	from here
фигу́ра	figure
просыпа́ться	wake up
ла́герь	camp
ко́жа	skin, leather
след	trace, footprint
со́бственность	property
у́жас	horror
разде́л	division, branch
назнача́ть	set, arrange, appoint
реализа́ция	realization, implementation, marketing, sales
зави́симость	dependence, addiction
поте́ря	loss
реа́льность	reality
привлека́ть	attract
привыка́ть	get used
собра́ние	meeting, collection
экра́н	screen
пост	post, station, fast, (blog) post, duty
здра́вствовать	hello, long life
зима́	winter
разраба́тывать	develop, work out
по́здно	late
уро́к	lesson
акти́вный	active
перехо́д	crossing, transition
крова́ть	bed
вино́	wine
секс	sex
ко́мплекс	complex
ро́дина	homeland
звуча́ть	sound
коле́но	knee
зо́на	zone
выделя́ть	release, allot
электро́нный	electronic
изда́ние	publication
появле́ние	appearance
евре́й	Jew
ре́зко	sharply
акт	act, regulation
разгова́ривать	talk
ре́дко	rarely
поговори́ть	talk
разреша́ть	allow, solve
при́знак	sign
и́стина	truth
эта́ж	floor
замеча́тельный	remarkable
тре́боваться	need
пла́кать	cry
потре́бность	need
бюдже́т	budget
долг	debt, duty
храм	temple
князь	prince
заходи́ть	come in, drop by
опа́сность	danger
депута́т	deputy
кива́ть	nod
честь	honour
учѐт	accounting
колле́га	colleague
гла́вное	the main thing
ми́лый	cute, lovely
зараба́тывать	earn
предполага́ть	assume
катего́рия	category, class
прика́з	order
администра́ция	administration
глубина́	depth
полѐт	flight
традицио́нный	traditional
эффе́кт	effect
уничтожа́ть	destroy, wipe out
реша́ться	hesitate, be resolved
торго́вый	trading, shopping
описа́ние	description
риск	risk
подру́га	friend (female)
горя́чий	hot
ло́шадь	horse
коридо́р	corridor
капита́л	capital
ко́нкурс	competition
партнѐр	partner
повора́чиваться	turn
исключе́ние	exception, expulsion
ночно́й	night
весна́	spring
красота́	beauty
черта́	line, feature
три́дцать	thirty
во́зле	by, near
схе́ма	scheme
ры́ба	fish
суме́ть	manage
опубликова́ть	publish
глубоко́	deep(ly)
сдава́ть	give, let, return, betray (slang)
то́чный	exact
прибыва́ть	arrive
присыла́ть	send
тру́бка	tube, telephone receiver
остана́вливать	stop
говори́ться	be said, be discussed
аппара́т	apparatus, equipment
сади́ться	sit down
восто́чный	eastern
откры́тие	opening, discovery
знамени́тый	famous
стихи́	poetry
тѐплый	warm
чу́до	miracle
включа́ть	include, turn on
фами́лия	surname
броса́ться	throw
ключ	key
заключа́ться	consist, be
кре́сло	armchair
ти́хий	quiet
выводи́ть	take out, lead out
ра́зница	difference
чей	whose
во́семь	eight
взгля́дывать	look at
прису́тствовать	present
министе́рство	ministry
кино́	film
неожи́данно	unexpected(ly)
конча́ться	finish, run out
медици́нский	medical
штат	staff, state
нало́г	tax
захоте́ть	want
све́дение	information, resolution
конфли́кт	conflict
культу́рный	cultural
середи́на	middle
